ADD:	5.361		6.515		6.749		7.217		8.153
COMP:	4.062		4.062		4.062		4.062		4.062
DEC:	5.361		5.919		6.618		7.086		8.022
DIV:	5.361		18.109		35.525		81.639		220.369
INC:	5.361		5.919		6.62		7.088		8.024
MOD:	5.361		19.873		38.282		85.71		224.488
MUL:	5.361		9.712		9.052		13.911		18.975
MUX2x1:	3.755		5.361		5.361		5.361		5.361
REG:	4.09		4.09		4.09		4.09		4.09
SHL:	5.361		6.253		6.842		7.044		7.708
SHR:	5.361		6.253		6.842		7.044		7.991
SUB:	5.361		6.384		6.618		7.086		8.022
